city_std,title,text_len,found
七台河,七台河市,2259,True
三亚,三亚市,8555,True
三明,三明市,6966,True
三门峡,三门峡市,2726,True
上海,上海市,31765,True
上饶,上饶市,3492,True
东莞,东莞市,9749,True
东营,东营市,4963,True
中卫,中卫市,2546,True
中山,中山市,12817,True
临汾,临汾市,5485,True
临沂,临沂市,4814,True
临沧,临沧市,5281,True
丹东,丹东市,6919,True
丽水,丽水市,4868,True
丽江,丽江市,3701,True
乌兰察布,乌兰察布市,5619,True
乌海,乌海市,4822,True
乌鲁木齐,乌鲁木齐市,26465,True
乐山,乐山市,2737,True
九江,九江市,4643,True
云浮,云浮市,2118,True
亳州,亳州市,2402,True
伊春,伊春市,5276,True
佛山,佛山市,6243,True
佳木斯,佳木斯市,3666,True
保定,保定市,8577,True
保山,保山市,2725,True
信阳,信阳市,4828,True
克拉玛依,克拉玛依市,4603,True
六安,六安市,7155,True
六盘水,六盘水市,4013,True
兰州,兰州市,9408,True
内江,内江市,4408,True
包头,包头市,8321,True
北京,北京市,28863,True
北海,北海市,8314,True
十堰,十堰市,4325,True
南京,南京市,23246,True
南充,南充市,3312,True
南宁,南宁市,11301,True
南平,南平市,6922,True
南昌,南昌市,19651,True
南通,南通市,9652,True
南阳,南阳市,20626,True
厦门,厦门市,16646,True
双鸭山,双鸭山市,2445,True
台州,台州市,9578,True
合肥,合肥市,10991,True
吉安,,0,False
吉林,吉林市,8312,True
吕梁,吕梁市,4780,True
吴忠,吴忠市,3517,True
周口,周口市,6036,True
呼伦贝尔,呼伦贝尔市,8891,True
呼和浩特,呼和浩特市,6402,True
咸宁,咸宁市,16296,True
咸阳,咸阳市,4881,True
哈尔滨,哈尔滨市,29391,True
唐山,唐山市,12491,True
商丘,商丘专区,912,True
商洛,商洛市,2926,True
嘉兴,嘉兴市,6457,True
嘉峪关,嘉峪关市,5138,True
四平,四平市,4485,True
固原,固原市,3245,True
大同,大同市,16004,True
大庆,大庆市,5701,True
大连,大连市,21022,True
天水,天水市,3260,True
天津,天津市,26632,True
太原,太原市,14016,True
威海,威海市,5236,True
娄底,娄底市,2836,True
孝感,孝感市,2592,True
宁德,宁德市,7715,True
宁波,宁波市,28381,True
安庆,安庆市,6197,True
安康,安康市,3097,True
安阳,安阳市,11788,True
安顺,安顺市,4206,True
定西,定西市,2591,True
宜宾,宜宾市,7768,True
宜昌,宜昌市,13560,True
宜春,宜春市,3551,True
宝鸡,宝鸡市,6528,True
宣城,宣城市,5314,True
宿州,宿州市,7344,True
宿迁,宿迁市,2959,True
岳阳,岳阳市,11032,True
崇左,崇左市,1941,True
巴中,巴中市,3313,True
