cohort,event_time,beta,se,p,n_treated,n_control
1,-3,-0.009371058405279922,0.02296064608750308,0.68317408228961,206,1195
1,-2,-0.03005037608893519,0.026185902762271698,0.2511426557300227,206,1195
1,0,0.032342975929516,0.02315001984519167,0.1623824211803564,206,1195
2,-3,-0.006586597244443007,0.017924842479302146,0.7132786433718131,665,1025
2,-2,-0.013541283864638237,0.015988480084698425,0.3970285466204856,665,1025
2,0,0.015686713018671684,0.018433596631433662,0.3947777217817685,665,1025
2,1,-0.01793586510910001,0.02650121735712428,0.4985366605245142,665,1025
2,2,-0.0576144506834182,0.029480525393270656,0.05066310322683444,665,1025
2,3,0.01713222758675787,0.023058991970263964,0.45749752452076053,665,1025
3,-3,0.026424469502408048,0.02318799016945858,0.2544631251323298,328,1119
3,-2,0.03802866827277048,0.024556376604482524,0.12147140720689617,328,1119
3,0,0.012689723264027425,0.028051717961973588,0.6510032870067066,328,1119
3,1,0.015907889655089325,0.03188069983055936,0.6177921909194347,328,1119
3,2,0.06684647010958147,0.03190468161084184,0.03615382666991048,328,1119
3,3,0.04619486893953857,0.03973364715297746,0.2449864086469442,328,1119
4,-3,-0.00904627451495485,0.018454071337308572,0.6239889782007404,536,946
4,-2,-0.011505825236495522,0.02288221278302329,0.6150849615824636,536,946
4,0,0.010746154726344936,0.028186957071710098,0.7030209796957345,536,946
5,-3,0.044963702490808735,0.021378875023045214,0.035449710415776894,412,1125
5,-2,-0.011058326944093824,0.02973814766877611,0.7099996082447535,412,1125
5,0,0.011377980665465803,0.0285109319175359,0.689838446168682,412,1125
5,1,0.01665072908385684,0.03113294804363689,0.5927697601275981,412,1125
5,2,0.07853973934132924,0.023830782926126472,0.0009816758483247529,412,1125
5,3,0.09708118408294392,0.025600794502469385,0.0001493690709242796,412,1125
6,-2,0.04395585933453655,0.017000177194092102,0.009720633269621989,198,1267
6,0,0.07108417955581883,0.022035775414885172,0.0012559770114259747,198,1267
6,1,0.07208997501502398,0.02431713429583154,0.003031010817306187,198,1267
6,2,0.059815284222716064,0.024157838620663532,0.013285624901029126,198,1267
6,3,0.04491249428382884,0.024757504345842892,0.06966291819173069,198,1267
7,0,0.08072488608799638,0.022517112123355068,0.0003370186068414723,175,1324
7,1,0.06977374143365898,0.022060769504711506,0.0015626111071040264,175,1324
7,2,0.03707491768566038,0.028639206997277487,0.19547512138566536,175,1324
7,3,0.021760977452048698,0.026638709126623823,0.4139895261691776,175,1324
8,0,0.08327172813084004,0.011917841138292086,2.8052888777680103e-12,389,1324
8,1,0.09252977395288084,0.012962268329440156,9.442788486625552e-13,389,1324
8,2,0.07523466971931753,0.013996363767237787,7.645480379876986e-08,389,1324
8,3,0.06262693557054304,0.014198395928504758,1.0296760935709733e-05,389,1324
9,-2,0.06262495343215649,0.018305462263628884,0.0006236668527727059,388,1267
9,0,0.07658376551683313,0.02173658933720731,0.00042626484392519154,388,1267
9,1,0.057791175194626176,0.0225648890936025,0.010433815352235488,388,1267
9,2,0.024005974153356133,0.022498735728523622,0.28597538583774906,388,1267
