city_std,year,vai_review,vai_plan,n_review,n_plan,review_chars,plan_chars
阜阳,2021,0.2857142857142857,0.6046511627906976,7,43,3124,15311
苏州,2017,0.8148148148148148,0.6956521739130435,27,23,9362,9256
湛江,2024,0.52,0.6,25,50,7866,12679
泸州,2009,0.5,0.7916666666666666,8,24,6076,7157
长沙,2024,0.875,0.7142857142857143,32,84,6207,17575
广安,2016,0.65625,0.6086956521739131,32,23,8181,11823
酒泉,2011,0.32142857142857145,0.6153846153846154,28,26,7674,8924
泸州,2021,0.5454545454545454,0.5714285714285714,22,49,5869,12689
上海,2003,0.7,0.6153846153846154,10,26,4232,13485
威海,2015,0.4827586206896552,0.5714285714285714,29,7,11253,3476
亳州,2008,0.3333333333333333,0.3888888888888889,9,18,4034,7676
上海,2017,0.14285714285714285,0.5294117647058824,14,17,5054,9472
大同,2022,0.7333333333333333,0.4838709677419355,15,31,5041,13033
朔州,2005,0.4,0.631578947368421,5,19,3373,12284
包头,2005,0.5333333333333333,0.6774193548387096,15,31,4858,9760
七台河,2011,0.6923076923076923,0.5357142857142857,26,28,5006,10070
阜新,2011,0.4,0.6428571428571429,20,28,5389,8367
九江,2005,0.375,0.7058823529411765,8,17,3462,8360
九江,2011,0.3076923076923077,0.631578947368421,26,19,11202,8264
阜新,2005,0.4444444444444444,0.5238095238095238,18,21,9071,7894
江门,2007,0.4117647058823529,0.3783783783783784,17,37,6602,13437
芜湖,2018,0.6428571428571429,0.6521739130434783,28,23,6510,7833
朔州,2011,0.7058823529411765,0.7555555555555555,17,45,4425,13253
包头,2011,0.43478260869565216,0.4,23,40,6364,12649
巴中,2022,0.8235294117647058,0.5686274509803921,17,51,5154,13954
邯郸,2011,0.875,0.8,8,30,6019,10637
济宁,2022,0.4666666666666667,0.7540983606557377,15,61,4566,14970
邯郸,2005,0.6666666666666666,0.5909090909090909,6,22,5018,10779
河池,2016,0.5625,0.6086956521739131,16,46,4239,13862
曲靖,2004,0.6,0.4,5,10,3423,9891
芜湖,2024,0.6842105263157895,0.8461538461538461,19,26,7019,9115
十堰,2015,0.7333333333333333,0.6296296296296297,15,27,6055,9208
双鸭山,2020,0.35714285714285715,0.2727272727272727,14,33,4313,7352
三门峡,2020,0.7272727272727273,0.8333333333333334,22,30,7288,12721
防城港,2008,0.5833333333333334,0.4444444444444444,12,9,6433,5068
遵义,2012,0.7333333333333333,0.5142857142857142,15,35,4254,12405
吉林,2024,0.5,0.5833333333333334,26,48,5657,9580
新余,2021,0.3684210526315789,0.5384615384615384,19,39,4384,13090
遵义,2006,0.4444444444444444,0.3333333333333333,9,24,3803,11247
烟台,2016,0.4666666666666667,0.5483870967741935,15,31,3893,10553
遂宁,2019,0.6875,0.6888888888888889,16,45,6417,13685
呼伦贝尔,2020,0.5625,0.5517241379310345,16,29,6324,9399
杭州,2014,0.6538461538461539,0.3333333333333333,26,45,6745,9176
安顺,2006,0.5833333333333334,0.5833333333333334,12,36,7995,19334
沧州,2014,0.6923076923076923,0.5833333333333334,13,24,5892,7958
宿州,2022,0.6875,0.5454545454545454,16,22,6664,10125
淮安,2021,0.6944444444444444,0.7352941176470589,36,68,7309,17274
吉林,2018,0.5806451612903226,0.125,31,8,10511,3426
呼伦贝尔,2008,0.7692307692307693,0.6818181818181818,13,22,5585,12605
普洱,2022,0.6470588235294118,0.5882352941176471,17,51,5232,13528
重庆,2016,0.48148148148148145,0.4166666666666667,27,12,16061,6218
铜川,2020,0.5714285714285714,0.6818181818181818,14,44,4849,12493
抚顺,2022,0.6666666666666666,0.5,24,20,5058,7224
