city_std,text_len,v_count_wiki,f_count_wiki,v_ext_wiki,f_ext_wiki,vai_wiki,vai_wiki_ext,vai_primary_mean,vai_primary_sd,n_years,cir_mean,ln_gdppc_mean,ln_pop_mean,ind2_share_mean
合肥,10991,6,0,6,0,1.0,1.0,0.67353788354206,0.09676263262519715,22,0.8408905663995205,10.818569221761539,15.878504115093222,36.132
遂宁,3839,3,0,4,0,1.0,1.0,0.6487214124523273,0.12547110099008996,22,0.8467787549399065,9.891458848828162,14.976360087150624,46.260000000000005
天水,3260,3,1,3,1,0.75,0.75,0.6234261450154729,0.1654549498058915,22,0.7525616327394037,9.338516178778502,15.005936743292395,25.610000000000003
濮阳,4355,4,2,5,2,0.6666666666666666,0.7142857142857143,0.586531184032409,0.11646308908349608,22,0.7374583079349164,10.158322645865326,15.091648456118023,36.480000000000004
锦州,5964,4,9,4,9,0.3076923076923077,0.3076923076923077,0.5770575917847343,0.10903114411149396,22,0.66106864129176,10.260620590396277,14.90593484170423,26.148000000000003
廊坊,3192,0,5,0,5,0.0,0.0,0.6359938450230764,0.11194587203446349,22,0.6680837497811302,10.482383472091064,15.319972496534989,32.596000000000004
重庆,29539,13,11,16,11,0.5416666666666666,0.5925925925925926,0.5619610283120285,0.12323366148655815,23,0.8965554150325071,,,
河源,7875,2,3,2,7,0.4,0.2222222222222222,0.6034342383436874,0.12506988973516908,22,0.928300435680967,9.88326939689458,14.883778662665975,35.6
昆明,9075,4,0,4,0,1.0,1.0,0.6529925896650337,0.11047566395503025,22,0.8863338791244465,10.68444397012469,15.71748842638024,31.2
抚顺,12892,3,1,3,1,0.75,0.75,0.5571036890584051,0.11251345554064157,22,0.62748937859404,10.536739805062966,14.55074325755812,48.21
武汉,26142,17,1,18,3,0.9444444444444444,0.8571428571428571,0.6026867551686576,0.09230627819894957,22,0.9076374536800198,11.167522960689647,16.139715942992428,35.42
宜昌,13560,6,1,6,1,0.8571428571428571,0.8571428571428571,0.6746674541546862,0.18596538709522772,22,0.826533394616312,10.854349850171971,15.214374042981152,42.92
嘉兴,6457,3,0,3,0,1.0,1.0,0.6300091300178047,0.17169078040080266,22,0.7428202097390337,11.051217991904299,15.337531293526075,53.7
洛阳,15203,7,1,7,1,0.875,0.875,0.6842973923968564,0.11998181486680067,22,0.7084208712066021,10.61294902866153,15.709691627592184,42.46
肇庆,6201,3,0,3,0,1.0,1.0,0.6489218182322778,0.12645881725105937,22,0.6452831564680124,10.353306800690245,15.184237139183308,40.94
福州,35061,14,3,22,3,0.8235294117647058,0.88,0.6415498417420102,0.11615251595872135,22,0.8873160804771242,10.990524682425487,15.80789175848769,37.844
赣州,4005,3,1,3,1,0.75,0.75,0.6456215528571273,0.10505110765932456,22,0.8500855501260589,9.862550256608209,15.961440516950912,39.260000000000005
