sample_id,human_label
S0007,mixed
S0240,functional
S0148,mixed
S0090,visible
S0316,functional
S0149,functional
S0246,functional
S0005,mixed
S0104,irrelevant
S0390,functional
S0085,mixed
S0018,functional
S0405,mixed
S0356,irrelevant
S0001,irrelevant
S0418,functional
S0337,irrelevant
S0429,irrelevant
S0173,functional
S0133,functional
S0084,mixed
S0493,irrelevant
S0119,mixed
S0036,irrelevant
S0318,functional
S0123,mixed
S0134,functional
S0424,mixed
S0083,functional
S0302,mixed
S0088,mixed
S0488,mixed
S0346,visible
S0269,irrelevant
S0028,irrelevant
S0250,mixed
S0440,mixed
S0300,mixed
S0370,functional
S0206,mixed
S0209,irrelevant
S0196,functional
S0301,functional
S0151,visible
S0042,visible
S0378,irrelevant
S0303,irrelevant
S0266,mixed
S0386,irrelevant
S0207,mixed
S0029,mixed
S0062,irrelevant
S0233,irrelevant
S0010,visible
S0449,irrelevant
S0049,mixed
S0348,functional
S0358,mixed
S0136,irrelevant
S0497,functional
S0468,functional
S0194,functional
S0445,functional
S0372,irrelevant
S0404,irrelevant
S0496,mixed
S0086,irrelevant
S0283,mixed
S0485,irrelevant
S0415,irrelevant
S0033,functional
S0006,mixed
S0145,irrelevant
S0471,mixed
S0135,functional
S0305,irrelevant
S0169,functional
S0294,mixed
S0368,irrelevant
S0027,visible
S0092,irrelevant
S0015,irrelevant
S0219,irrelevant
S0439,irrelevant
S0421,irrelevant
S0131,functional
S0021,irrelevant
S0280,functional
S0359,irrelevant
S0311,irrelevant
S0228,irrelevant
S0308,irrelevant
S0299,irrelevant
S0160,irrelevant
S0462,irrelevant
S0481,functional
S0349,mixed
S0389,irrelevant
S0489,functional
S0342,irrelevant
S0172,irrelevant
S0106,mixed
S0281,irrelevant
S0252,functional
S0275,functional
S0413,mixed
S0326,visible
S0500,functional
S0186,irrelevant
S0185,irrelevant
S0409,functional
S0053,mixed
S0319,irrelevant
S0312,mixed
S0216,irrelevant
S0043,irrelevant
S0296,irrelevant
S0137,irrelevant
S0289,irrelevant
S0162,irrelevant
