sample_id,human_label
S0055,mixed
S0121,visible
S0348,irrelevant
S0019,visible
S0010,irrelevant
S0079,mixed
S0142,visible
S0418,functional
S0338,visible
S0308,visible
S0427,functional
S0094,mixed
S0192,irrelevant
S0060,irrelevant
S0241,mixed
S0494,functional
S0213,functional
S0054,visible
S0459,visible
S0452,irrelevant
S0499,visible
S0210,irrelevant
S0390,irrelevant
S0005,irrelevant
S0032,mixed
S0316,irrelevant
S0322,mixed
S0174,visible
S0364,irrelevant
S0160,mixed
S0181,irrelevant
S0173,functional
S0028,visible
S0290,irrelevant
S0178,functional
S0343,functional
S0355,irrelevant
S0325,visible
S0297,visible
S0357,irrelevant
S0299,visible
S0024,visible
S0288,functional
S0384,irrelevant
S0165,mixed
S0212,functional
S0367,visible
S0130,visible
S0237,irrelevant
S0001,irrelevant
S0190,visible
S0319,visible
S0139,visible
S0407,functional
S0444,visible
S0216,irrelevant
S0102,irrelevant
S0152,functional
S0261,visible
S0009,visible
S0097,irrelevant
S0340,irrelevant
S0484,functional
S0326,mixed
S0435,irrelevant
S0447,functional
S0251,functional
S0385,functional
S0189,visible
S0358,visible
S0344,mixed
S0018,irrelevant
S0314,irrelevant
S0075,visible
S0412,irrelevant
S0073,visible
S0077,mixed
S0200,irrelevant
S0127,visible
S0104,functional
S0015,visible
S0330,irrelevant
S0231,mixed
S0263,mixed
S0483,irrelevant
S0244,mixed
S0247,mixed
S0391,irrelevant
S0148,functional
S0491,functional
S0234,visible
S0022,functional
S0276,irrelevant
S0313,visible
S0428,mixed
S0126,functional
S0490,visible
S0099,irrelevant
S0170,mixed
S0088,visible
S0500,visible
S0468,irrelevant
S0270,irrelevant
S0471,mixed
S0230,mixed
S0309,mixed
S0221,irrelevant
S0046,irrelevant
S0156,irrelevant
S0034,irrelevant
S0254,irrelevant
S0278,irrelevant
S0303,functional
S0012,irrelevant
S0206,visible
S0388,irrelevant
S0277,mixed
S0417,visible
S0226,visible
S0495,functional
