sample_id,wr_label,ensemble_majority
S0001,irrelevant,irrelevant
S0002,visible,visible
S0003,visible,irrelevant
S0004,functional,functional
S0005,visible,visible
S0006,irrelevant,irrelevant
S0007,irrelevant,irrelevant
S0008,mixed,mixed
S0009,visible,visible
S0010,visible,visible
S0011,functional,functional
S0012,irrelevant,irrelevant
S0013,functional,functional
S0014,functional,irrelevant
S0015,visible,visible
S0016,irrelevant,irrelevant
S0017,irrelevant,irrelevant
S0018,irrelevant,irrelevant
S0019,mixed,mixed
S0020,visible,mixed
S0021,visible,mixed
S0022,functional,functional
S0023,irrelevant,irrelevant
S0024,visible,visible
S0025,irrelevant,irrelevant
S0026,functional,mixed
S0027,irrelevant,irrelevant
S0028,visible,visible
S0029,functional,functional
S0030,functional,functional
S0031,mixed,mixed
S0032,functional,mixed
S0033,functional,mixed
S0034,irrelevant,irrelevant
S0035,functional,functional
S0036,visible,visible
S0037,functional,functional
S0038,functional,irrelevant
S0039,visible,irrelevant
S0040,irrelevant,visible
S0041,functional,functional
S0042,irrelevant,irrelevant
S0043,functional,functional
S0044,functional,functional
S0045,visible,visible
S0046,irrelevant,irrelevant
S0047,mixed,mixed
S0048,functional,functional
S0049,functional,functional
S0050,functional,functional
S0051,irrelevant,irrelevant
S0052,mixed,mixed
S0053,functional,functional
S0054,mixed,mixed
S0055,mixed,mixed
S0056,visible,visible
S0057,functional,functional
S0058,irrelevant,irrelevant
S0059,visible,visible
S0060,irrelevant,irrelevant
S0061,irrelevant,irrelevant
S0062,visible,visible
S0063,visible,visible
S0064,functional,functional
S0065,visible,visible
S0066,visible,visible
S0067,irrelevant,irrelevant
S0068,functional,functional
S0069,functional,functional
S0070,visible,visible
S0071,irrelevant,irrelevant
S0072,visible,visible
S0073,irrelevant,irrelevant
S0074,mixed,mixed
S0075,mixed,mixed
S0076,functional,irrelevant
S0077,mixed,mixed
S0078,functional,functional
S0079,mixed,mixed
S0080,irrelevant,irrelevant
S0081,irrelevant,irrelevant
S0082,visible,visible
S0083,functional,mixed
S0084,irrelevant,irrelevant
S0085,irrelevant,irrelevant
S0086,visible,visible
S0087,visible,visible
S0088,visible,visible
S0089,visible,visible
S0090,irrelevant,irrelevant
S0091,irrelevant,irrelevant
S0092,irrelevant,irrelevant
S0093,mixed,mixed
S0094,visible,visible
S0095,functional,functional
S0096,functional,mixed
S0097,irrelevant,irrelevant
S0098,functional,functional
S0099,irrelevant,irrelevant
S0100,visible,visible
S0101,functional,mixed
S0102,irrelevant,irrelevant
S0103,visible,visible
S0104,mixed,functional
S0105,irrelevant,irrelevant
S0106,irrelevant,irrelevant
S0107,visible,visible
S0108,irrelevant,irrelevant
S0109,irrelevant,irrelevant
S0110,irrelevant,irrelevant
S0111,functional,functional
S0112,functional,functional
S0113,visible,visible
S0114,irrelevant,irrelevant
S0115,visible,visible
S0116,functional,functional
S0117,visible,visible
S0118,visible,visible
S0119,functional,functional
S0120,functional,functional
S0121,visible,visible
S0122,functional,functional
S0123,irrelevant,functional
S0124,functional,functional
S0125,irrelevant,functional
S0126,functional,functional
S0127,functional,irrelevant
S0128,visible,visible
S0129,visible,mixed
S0130,functional,functional
S0131,functional,functional
S0132,irrelevant,functional
S0133,functional,functional
S0134,functional,functional
S0135,visible,visible
S0136,irrelevant,irrelevant
S0137,visible,irrelevant
S0138,irrelevant,irrelevant
S0139,visible,visible
S0140,functional,functional
S0141,visible,visible
S0142,visible,visible
S0143,irrelevant,irrelevant
S0144,irrelevant,visible
S0145,visible,visible
S0146,visible,visible
S0147,visible,irrelevant
S0148,functional,functional
S0149,mixed,mixed
S0150,visible,visible
S0151,functional,mixed
S0152,functional,functional
S0153,visible,visible
S0154,functional,functional
S0155,visible,mixed
S0156,irrelevant,irrelevant
S0157,visible,visible
S0158,irrelevant,irrelevant
S0159,visible,visible
S0160,mixed,mixed
S0161,visible,visible
S0162,visible,visible
S0163,visible,visible
S0164,irrelevant,irrelevant
S0165,functional,functional
S0166,functional,functional
S0167,functional,functional
S0168,visible,visible
S0169,irrelevant,irrelevant
S0170,functional,mixed
S0171,irrelevant,irrelevant
