class,city,amount_cny,title
functional,鹿城区,8422771,2022年鹿城区排水管网提质增效工程（丰门街道01网格排水管网整治工程）
functional,瑞安市,16166444,瑞安市湖岭镇六科村等 4 个村农村污水提质提标改造工程
visible,龙港市,2426285,龙港市巴曹第二社区七星村石庙至钱巴大道农村道路改造提升工程龙港市巴曹第二社区七星村石庙至钱巴大道农村道路改造提升工程
visible,金东区,21762907,纽顿新能源汽车项目道路配套工程（一期）
functional,乐清市,9568128,乐清市雁荡镇核心景区响岭头村污水管网改造工程
functional,德清县,353200,德清县资源循环利用和水生态治理项目——农村生活污水治理工程（禹越镇、新安镇、雷甸镇）片区监理项目中标结果公示
functional,天台县,18252975,天台县城乡污水双提标项目2022年东部片区三合镇大横等10村污水处理终端及管网改造工程中标结果公示
functional,天台县,3415780,天台县城乡污水双提标项目2022年东部片区洪畴镇逸溪等7村污水处理设施建设改造工程中标结果公示
visible,安吉县,100080068,安吉县交旅融合共同富裕示范项目之黄浦江源旅游道路新改建项目（直坞里至杭垓）设计施工总承包中标结果公告
visible,平湖市,18796621,独山港经济开发区港城花苑工程景观绿化工程
functional,乐清市,4090918,乐清市虹桥镇七标段污水零直排改造工程（兴宝坦片）
visible,瓯海区,11260819,泽雅镇水碓坑村外立面改造及环境提升工程
visible,瓯海区,47026322,瓯海区霞北路（龙霞路-温瑞大道）市政道路建设工程
functional,上虞区,7735283,五夫工业园区污水零直排整治提升工程中标结果公告
visible,东阳市,43852563,东阳市东仙线白改黑道路工程
functional,东阳市,14680576,奔驰4S店排水口整治项目-下昆溪小区截污改造工程
visible,东阳市,8297236,东阳市广丰街（望江北路—关山北路）道路工程
visible,婺城区,6834351,（22-0295）婺城区竹马乡横四路道路新建工程
visible,临安区,43564971,临安区玲珑科创园区及配套基础设施工程-玲珑1号地块综合开发项目（配套道路）
functional,象山县,2396842,象山县石浦镇区块及周边乡镇给水管网改造工程（三期）—石浦镇零星区块给水管网改造工程—东部片区中标结果公告
visible,海盐县,13598380,庆丰路（滨海大道—枣园支路）工程
visible,海盐县,4050358,盐平塘东侧景观亮化提升工程
visible,丽水市,13780300,丽水空港园区（一期）基础设施及配套项目路网工程设计中标公示
functional,临海市,5528397,临海市涌泉镇塘头村农村生活污水管网建设工程施工中标候选人公示
functional,开化县,19840085,开化县二次供水设施建设与改造项目一期中标候选人公示
functional,开化县,1259003,开化县农村生活污水处理设施新建及改造项目二期（2021年池淮镇、华埠镇、芹阳办、杨林镇、中村乡）—杨林镇号岭村-中村中标候选人公示
visible,德清县,6171339,龙胜中心村（二期）市政景观工程候选公示
visible,义乌市,3118615,国际陆港·诚信金街广场设计中标结果公告
visible,上虞区,6644127,管溪综合开发项目绿道建设工程(下管段)1标段中标公示
visible,磐安县,5027257,磐安县美丽公路（G351、磐新线、怀万线）景观提升工程
functional,永康市,1118172,2022年污水处理厂提升及污水管网建设工程 ——溪心路污水干管建设项目施工监理
functional,金华经济技术开发区,10026572,金华市蓝波能源有限公司开发区分公司1.72MWP分布式发电（污水处理厂）项目施工
visible,湖州南太湖新区,13068791,弁山黄龙洞景区配套基础设施一期工程项目--启动区市政景观配套项目工程总承包弁山黄龙洞景区配套基础设施一期工程项目--启动区市政景观配套项目工程总承包
visible,台州市,6836547,黄岩永椒路（大闸路-进港路）改造-景观绿化工程中标结果公示
functional,开化县,2712286,开化县农村生活污水治理设施新建及改造项目二期（2022年桐村镇）中标结果公告
visible,苍南县,6110699,藻溪镇富溪农业公园建设项目藻溪镇富溪农业公园建设项目
visible,台州市,5933392,黄岩区北洋移民安置小区工程-景观绿化工程候选公示
visible,嘉兴市,3674939,凤桥镇联丰村未来乡村建设—王祥里.福禄工作室及周边环境绿化改造提升项目设计采购施工总承包(EPC)
functional,普陀区,8034854,2022年六横镇渔农村生活污水下庄片治理工程中标结果公告
visible,金东区,12800006,金华市金东区中医院新建工程-外围市政道路
visible,德清县,2787030,湖州莫干山高新区城北高新园区（砂村）基础设施及配套提升改造工程（一期）-砂村道路港湾式公交停靠站工程中标结果公示
functional,德清县,143611015,德清县污水处理厂及管网配套设施建设工程-乾元污水处理厂扩建工程中标结果公示
functional,仙居县,18410927,仙居县经开区东部工业新城基础设施新建及改扩建工程-张店区块排水渠工程（一期）中标公告
functional,台州市,34866261,路桥区2022年度生活污水强基增效双提标工程—螺洋街道（EPC模式）中标结果公示
visible,安吉县,5352587,孝丰镇旧城改造及人居环境提升项目之城区河滨景观绿化改造提升工程中标结果公告
visible,西湖区,10340984,转塘横路（象山路-转塘直街）道路工程
visible,临平区,47160600,枇杷园区块配套道路（横二路）
visible,萧山区,7715888,恒盛路（高新十一路-兆丰路）项目-恒盛路（03省道-兆丰路）桥梁工程
visible,杭州市,13303651,天城单元环站南路（新塘路-新风路）道路工程
visible,杭州市,9062139,天城单元闸皋路（秋涛路-天台山路）道路工程
functional,省本级,20536703,东苕溪防洪后续西险大塘达标加固工程（杭州市段）全过程工程咨询服务
visible,绍兴市,200000,绍兴孑民图书馆广场物业房屋五年租赁权项目
functional,象山县,97856750,象山县丹石（东陈泵站至石浦水厂）引水工程—隧洞及管线III标中标候选人公示
visible,淳安县,4652000,珍珠广场及中轴溪竹木板维修工程
visible,定海区,13288755,东河北路道路改造提升工程中标结果公告
functional,海宁市,6360000,杭海新区污水处理厂易地新建及杭海新区工业污水预处理厂项目设计中标公示
functional,嘉兴市,1045523,三家浜污水零直排工程全过程咨询服务
visible,温岭市,20139058,温岭市太平街道小河头村居住社区室外配套工程（道路、景观铺装）中标公告
visible,临海市,5853297,小芝镇镇区道路改造工程施工中标公告
visible,青田县,6193043,黄垟乡区域交通道路修复提升工程中标公示
functional,天台县,2680711,天台县城乡污水双提标项目2022年东部片区坦头镇塘楼等8村污水处理终端及管网改造工程候选公示
functional,江山市,17123333,江山市封门溪河道整治及排涝设施建设工程（红岗山路至封门桥段）中标候选人公示
visible,嘉兴市,2275000,洪合镇洪康商业广场建筑设计和初步设计方案
functional,德清县,1957700,德清县污水处理厂及管网配套设施建设工程-乾元污水处理厂扩建工程监理中标结果公示
visible,义乌市,50589839,义乌国际陆港物流园区电商仓储区配套道路一期工程-汇港路（四季路-西站大道）工程中标结果公告
visible,柯城区,5593880,衢州市柯城区石梁镇双溪村历史文化村落保护利用重点村建设项目-旅游休闲景观配套设施工程（旅游休闲广场建设、零星节点及民居修缮工程）中标候选人公示
functional,临海市,5582211,临海市涌泉镇梅岘村、岩园村农村生活污水管网建设工程施工中标候选人公示
visible,台州市,11840579,黄岩区金带路东侧、委羽街南侧沿河绿化、停车场工程-沿河绿化候选公示
visible,桐乡市,8441276,桐乡市乌镇镇2022年农村道路品质提升工程（乡村道路改造）
visible,瑞安市,1364560,瑞安市江南新区云龙路（G322国道至瑞南大道）道路工程监理
functional,台州市,3537983,路桥污水管网2023年度养护清通工程中标结果公示
visible,嘉兴市,19444829,油车港镇新安路（施家路-杨家港）及周边道路工程设计施工总承包（EPC）
visible,普陀区,18055502,普陀水街基础设施配套二期工程（喷泉水秀）设计、采购、施工（EPC）总承包中标结果公告
functional,义乌市,9069388,义乌市江东污水厂三期扩建工程二标段监理中标结果公告
functional,义乌市,496617287,义乌市江东污水厂三期扩建工程二标段中标结果公告
visible,临海市,2688114,临海市铁路大道综合提升改造工程（监理）监理中标候选人公示
visible,南浔区,9405525,南浔古镇文化旅游综合提升项目（一期）-浔东路道路新建工程南浔古镇文化旅游综合提升项目（一期）-浔东路道路新建工程
visible,台州市,1211587,台州市商贸核心区公交枢纽站点及基础设施建设工程（心海社区规划道路一-五道路工程）（监理）中标结果公示
functional,嘉兴市,51516384,南湖区老（旧）住宅区改造提升专项工程（三期）（南湖街道污水零直排）设计采购施工总承包(EPC)
visible,西湖区,17708840,横南路（周二路-袁富路）道路工程
visible,上城区,34996878,笕桥单元双凉环路（蔡阳路-双凉环路已建）道路工程
visible,杭州经济技术开发区,15739757,宝龙南侧道路南延伸(青龙路-塘新线)工程
visible,杭州经济技术开发区,17959503,云帆社区北侧配套道路（云帆社区西侧配套道路-宝龙南侧道路）
visible,西湖区,65905976,小江路（袁浦路-枫桦西路）道路工程
visible,杭州经济技术开发区,20330089,云帆社区南侧配套道路(云帆社区西侧配套道路-义蓬中路）
visible,杭州经济技术开发区,11527723,云帆社区西侧配套道路(云帆社区北侧配套道路-艮山东路东延)工程
visible,湖州市,11000,湖州市织里镇新世界广场1号楼B103号三年租赁权
visible,绍兴市,252000,绍兴市儿童公园东北侧B地块房屋五年租赁权
visible,台州市,753500,黄岩区劳动南路品质道路提升工程（环城南路至十高线）（设计）中标结果公示
functional,苍南县,2520000,江南再生水厂（污水处理厂）配套主管网建设工程初步设计、施工图设计、地质勘察项目江南再生水厂（污水处理厂）配套主管网建设工程初步设计、施工图设计、地质勘察项目
functional,乐清市,10015278,乐清市柳市镇城北片雨污管网改造工程
visible,台州市,9488818,椒江区城市停车及基础设施提升工程之中心大道（开发大道-海城路）示范路工程-交通工程候选公示
functional,乐清市,6950552,乐清市柳市镇象南社区二标段雨污管网改造工程
visible,长兴县,3906550,长合区高铁大道(安吉县界至318国道)新建工程及泗安镇省级小城市基础设施提升项目-高铁大道工程项目施工监理中标候选人公示
visible,台州市,1217520,甬台温高速公路（G15沈阳至海口国家高速公路）改扩建工程临海青岭至温岭大溪岭段、黄岩区产城融合示范区片区开发项目（甬台温高速公路黄岩段桥下地面道路工程）候选公示
visible,仙居县,4284119,仙居县经开区东部工业新城基础设施新建及改扩建工程-司太立大道（丰溪中路~G351）提升工程中标公示
visible,永康市,11674655,永康市老金温铁路综合利用及基础设施建设项目-梅城路道路工程设计项目
visible,金东区,5978954,金义新区鞋塘幼儿园配套道路新建工程
visible,永康市,8728800,东塔路道路建设工程（丽州路-松石路)
functional,台州市,3458000,长潭库区农村生活污水提标工程 （初步设计）候选公示
visible,台州市,11042028,黄岩区碧林街（黄石大道~沿河路）道路工程中标结果公示
visible,瑞安市,16066695,瑞安市瑞祥新区绍箕路（瑞枫大道至院士路）道路及DN1200给水管工程中标结果公告
functional,江山市,29086346,江山市店坝头水库防洪能力提升工程中标候选人公示
visible,台州市,485000,黄岩区二环南路品质道路提升工程（内环至二环西路）（设计）中标结果公示
visible,柯桥区,22115050,柯南大道、春望路、南闲路、高尔夫路等两侧亮化工程（二、三期）中标结果公告
visible,柯桥区,7187039,柯桥区鉴湖渔歌传统风貌区建设项目——鉴湖渔歌传统风貌区工程柯岩风景区门口改造提升、鉴湖江慢行系统综合提升、风貌区游线沿线整治提升工程施工中标结果公告
visible,上虞区,4070656,上虞民法典公园布展项目EPC设计采购施工总承包中标公示
visible,义乌市,15715570,义乌综合保税区新型进口市场配套及景观绿化工程二标段中标结果公告
visible,义乌市,28937658,义乌市机场路立交化改造工程二阶段、三阶段钢桥面浇筑式沥青铺装中标结果公告
visible,义乌市,20238992,义乌综合保税区新型进口市场配套及景观绿化工程一标段中标结果公告
functional,义乌市,4618988,新科路（雪峰西路-西城路）供水专管工程中标结果公告
functional,德清县,34576592,德清高南线-瑶坞主管网燃气工程（工程总承包）候选公示
visible,温岭市,15775768,温岭市北山公园北侧绿地工程中标公告
functional,西湖区,13178093,双浦泵站
visible,余杭区,1482049,钱江经济开发区制造四路（仁和大道-东西大道）监理
visible,西湖区,29561351,镇中路二期（紫金港北路-厚仁路）道路工程（一期）
visible,西湖区,5993829,转塘直街（美院北路-转塘横路）道路工程
functional,萧山区,95425323,萧山钱江污水处理厂四期扩建排放口工程
visible,余杭区,11233600,菜鸟东侧道路工程
visible,安吉县,8764800,安吉县交旅融合共同富裕示范项目—七个旅游道路新改建项目监理中标结果公告
visible,杭州市,5566612,石塘公园、墅园等绿地标段养护管理
visible,杭州经济技术开发区,3632910,江海之城道路节点景观提升工程
functional,余姚市,12368201,关于余姚市农村规模化供水“应通尽通”工程—梁弄水厂管网延伸兼并村级水站（湖东村、白水冲村、横坎头村、东山村）—横坎头村一户一表改造工程(标段)的中标候选人公示
visible,省本级,45707200,德清县莫干山香溢文化发展有限公司100%股权及德清香溢生态园二期改、扩建项目的装修、设备、景观及绿化
functional,余姚市,5902208,关于城区污水收集系统六期工程-2022年度老小区雨污分流及污水管网配套完善工程（富达花苑雨污分流改造工程等）-通达小区8-17幢雨污分流改造工程的中标候选人公示
visible,杭州市,7927212,城北体育公园标段绿地养护管理
visible,义乌市,6938275,北苑街道柳青路（丹溪路-望道路)及周边配套工程中标结果公告
visible,仙居县,9068888,仙居县乡镇生态公墓新建项目(一期）配套道路工程（横溪片区）中标公示
visible,临海市,13684718,江南贺家出让地块区间道路工程（一期）施工中标公告
visible,嘉善县,1660000,嘉善站站前广场（南广场、北广场）概念性方案设计
visible,安吉县,8482056,安吉县孝丰镇农村公路提升项目（林区道路）三期中标结果公告
visible,台州市,719422,黄岩区岙岸村安置房工程（A地块）-建筑亮化中标结果公示
visible,桐乡市,125603224,浙北高等级航道网集装箱运输通道建设工程（嘉兴段）桐乡迎宾大道长山河大桥
functional,金东区,59590672,金义都市区中部联网供水一期工程（金东段）第1标段
visible,义乌市,15110783,上溪镇上佛路与文明路交叉口东北侧地块市政配套及景观绿化工程中标候选人公示
visible,嘉兴市,7449787,2022年南湖区省、市级事故多发点段及重点整治道路隐患整治工程
visible,嘉兴市,41962080,云东路跨平湖塘及跨闻泾桥港桥梁工程
functional,金华经济技术开发区,93360915,开发区农村污水治理”强基增效双提标”行动项目（I标、II标）设计施工一体化
functional,上虞区,51847989,上虞区曹娥江城区段防洪堤综合提升一期工程施工2标中标结果公告
visible,义乌市,26997809,义乌市上溪镇兴华路西侧地块项目S2区块市政配套及景观绿化工程中标结果公告
functional,绍兴市,387652,市区分质供水项目（上虞工业水置换）招标代理（造价咨询）服务项目中标公示
visible,上城区,17925137,上城区景芳三堡单元JG1201-B1/B2/S2/S42-11地块商业兼容商务、城市轨道交通及社会停车场用房项目全过程工程咨询
visible,拱墅区,4296173,三塘单元兴新北路（大业巷-珠埠漾西路）道路工程
visible,杭州市,2568000,景芳三堡单元江河汇城市综合体汇中区块西岸公园工程机械车位
visible,安吉县,1118000,安吉县递铺街道农村公路提升项目（林区道路）二期设计中标结果公告
visible,安吉县,10074882,安吉县昌硕街道农村公路提升项目（林区道路）三期中标结果公告
visible,玉环市,35975961,关于玉环市科技产业功能区（智能制造）提升工程二期建设项目——同心路等7条道路改造项目的中标结果公告
visible,玉环市,47968828,关于玉环经济开发区风屿西路、红新路、龙王塘西路等四条道路建设项目的中标结果公告
functional,温州市,139800,报废立式排污泵、潜水排污泵、水泵、电脑等一批废旧物资
visible,玉环市,8451866,关于玉环经济开发区产业园区基础设施建设项目（一期）—芦北大道（银湖大道～港南大道）工程(招标项目)玉环经济开发区产业园区基础设施建设项目（一期）—芦北大道（银湖
functional,宁海县,45554220,关于宁海县白溪治理工程金家山至港头段防洪工程的中标结果公告
visible,乐清市,2950000,乐清市宁康路道路整体提升改造项目（万岙路口-坝头路口）设计
functional,开化县,19840085,开化县二次供水设施建设与改造项目一期中标结果公告
visible,台州市,1053000,台州路桥机场进场道路工程(二期)招标代理中标结果公示
visible,台州市,3527290,教七路（市府大道-东山河）道路工程（车行地道电气及弱电工程）候选公示
visible,海宁市,47127521,长安镇越川路南延道路工程中标公示
visible,金东区,7738719,金义新区思远路（环镇西路-消防站）道路新建工程
